company,report_year,chunk_index,activity,Sub_activity_code
A P MOLLER-MAERSK A/S,2024,1,Sea and coastal freight water transport,CCM 6.10
A P MOLLER-MAERSK A/S,2024,1,Retrofitting of sea and coastal freight and passenger water transport,CCM 6.12
A P MOLLER-MAERSK A/S,2024,1,Infrastructure enabling low-carbon water transport,CCM 6.16
A P MOLLER-MAERSK A/S,2024,1,Passenger and freight air transport,CCM 6.19
A P MOLLER-MAERSK A/S,2024,1,Freight rail transport,CCM 6.2
A P MOLLER-MAERSK A/S,2024,1,Freight transport services by road,CCM 6.6
A P MOLLER-MAERSK A/S,2024,1,"Installation, maintenance and repair of charging stations",CCM 7.4
A P MOLLER-MAERSK A/S,2024,1,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
A P MOLLER-MAERSK A/S,2024,1,Acquisition and ownership of buildings,CCM 7.7
AB VOLVO,2024,1,Manufacture of automotive parts and components,CCM 3.18
AB VOLVO,2024,1,Manufacture of low carbon technology for transportation,CCM 3.3
AB VOLVO,2024,1,Manufacturing of batteries,CCM 3.4
AB VOLVO,2024,1,Manufacture of other low carbon technology,CCM 3.6
"ACS, Actividades de Construcción y Servicios, S.A.",2023,,,
AIB Group plc,2023,1,Additional KPIs GAR (flow),1.68
AIB Group plc,2023,1,Support activities for animal production,A1.6.2
AIB Group plc,2023,1,Manufacture of paper and paperboard,C17.1.2
AIB Group plc,2023,1,Manufacture of basic pharmaceutical products,C21.1.0
AIB Group plc,2023,1,Manufacture of electronic components,C26.1.1
AIB Group plc,2023,1,Manufacture of other general-purpose machinery,C28.2.9
AIB Group plc,2023,1,Other manufacturing,C32.9.9
AIB Group plc,2023,1,Development of building projects,F41.1.0
AIB Group plc,2023,1,Construction of roads and motorways,F42.1.1
AIB Group plc,2023,1,Construction of other civil engineering projects,F42.9.9
AIB Group plc,2023,1,Dispensing chemist in specialised stores,G47.7.3
AIB Group plc,2023,1,Passenger air transport,H51.1.0
AIB Group plc,2023,1,Other transportation support activities,H52.2.9
AIB Group plc,2023,1,Hotels and similar accommodation,I55.1.0
AIB Group plc,2023,1,Other telecommunications activities,J61.9.0
AIB Group plc,2023,1,Computer programming activities,J62.0.1
AIB Group plc,2023,1,Hospital activities,Q86.1.0
AIB Group plc,2023,1,Other human health activities,Q86.9.0
AIB Group plc,2023,1,Gambling and betting activities,R92.0.0
AIB Group plc,2023,1,Activities of other membership organisations,S94.9.9
AIB Group plc,2023,1,Assets excluded from the numerator for GAR calculation,
AIB Group plc,2023,1,Collateral obtained by taking possession,
AIB Group plc,2023,1,Financial undertakings,
AIB Group plc,2023,1,Households,
AIB Group plc,2023,1,Local governments financing,
AIB Group plc,2023,1,Non-financial undertakings (Subject to NFRD),
AIRBUS SE,2024,1,Manufacturing of aircraft,3.21
AIRBUS SE,2024,1,Manufacturing of aircraft,CCM 3.21
AIRBUS SE,2024,1,"activities individually under the activities , 7.3, 7.6 and 8.1.",CCM 4.24
AIRBUS SE,2024,1,"Installation, maintenance and repair of energy efficiency equipment",CCM 7.3
AIRBUS SE,2024,1,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
AIRBUS SE,2024,1,"Data processing, hosting and related activities",CCM 8.1
AKWEL,2023,1,Manufacture of automotive and mobility components,3.18
AKWEL,2023,1,"Repair, refurbishment and remanufacturing",5.1
AKWEL,2023,1,Sale of spare parts,5.2
AKWEL,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",6.5
AKWEL,2023,1,Renovation of existing buildings,7.2
AKWEL,2023,1,"Installation, maintenance and repair of energy efficiency equipment",7.3
AKWEL,2023,1,Acquisition and ownership of buildings,7.7
AKZO NOBEL NV,2024,1,Manufacture of renewable energy technologies,CCM 3.1
AKZO NOBEL NV,2024,1,Manufacture of low carbon technologies for transport,CCM 3.3
AKZO NOBEL NV,2024,1,Manufacture of other low carbon technologies,CCM 3.6
AKZO NOBEL NV,2024,1,"Construction, extension and operation of waste water collection and treatment",CCM 5.3
AKZO NOBEL NV,2024,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
AKZO NOBEL NV,2024,1,Renovation of existing buildings,CCM 7.2
