company_id,best_url,score,valutazione
AB VOLVO,https://www.volvogroup.com/content/dam/volvo-group/markets/master/events/2025/annual-reports/volvo-group-annual-report-2024.pdf,66.0,giusta
AKZO NOBEL NV,https://www.akzonobel.com/content/dam/akzonobel-corporate/global/en/investor-relations-images/result-center/archive-annual-reports/2029-2020/AkzoNobel-annual-report-2024.pdf,51.0,giusta
ANDRITZ AG,https://www.andritz.com/resource/blob/620974/e66acf15517f7bab56818dbc86194b84/andritz-non-financial-statement-2024-e-data.pdf,61.0,giusta
ASML HOLDING N.V.,https://ourbrand.asml.com/m/79d325b168e0fd7e/original/2024-Annual-Report-based-on-US-GAAP.pdf,66.0,giusta
ASSICURAZIONI GENERALI SPA,https://www.generali.com/doc/jcr:259c5d6e-46f7-4a43-9512-58e5dcbd2a56/Annual%20Integrated%20Report%20and%20Consolidated%20Financial%20Statements%202024_Generali%20Group_final_interactive.pdf/lang:en/Annual_Integrated_Report_and_Consolidated_Financial_Statements_2024_Generali_Group_final_interactive.pdf,67.0,giusta
BALFOUR BEATTY PLC,https://www.balfourbeatty.com/media/yx0pn423/balfour-beatty-annual-report-and-accounts-2024.pdf,67.0,giusta
BP PLC,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-annual-report-and-form-20f-2024.pdf,67.0,giusta
BUNZL PLC,https://www.bunzl.com/media/yyiowbfu/bunzl-plc-sustainability-report-2024.pdf,66.0,giusta
COMPAGNIE FINANCIERE RICHEMONT SA,https://www.richemont.com/media/tjbjiob5/richemont-non-financial-report-2024.pdf,66.0,giusta
COMPUTACENTER PLC,https://www.computacenter.com/docs/default-source/documents/sustainability-report-2024_final_links.pdf?sfvrsn=283e604b_3,61.0,giusta
DAIMLER TRUCK HOLDING AG,https://www.daimlertruck.com/fileadmin/user_upload/documents/sustainability/daimler-truck-esg-factbook-fy-2024.pdf,66.0,giusta
DCC PLC,https://www.dcc.ie/~/media/Files/D/Dcc-Corp-v3/documents/investors/annual-and-sustainability-reports/2023/annual-report-2023.pdf,66.0,giusta
DIAGEO PLC,https://www.diageo.com/pdf-viewer.aspx?gid=307336661&src=%2F~%2Fmedia%2FFiles%2FD%2FDiageo-V2%2FDiageo-Corp%2Finvestors%2Fresults-reports-and-events%2Fannual-reports%2F2025%2Fannual-report-2025.pdf,66.0,giusta
DS SMITH LIMITED,https://www.dssmith.com/globalassets/investors/annual-reports-archive/ds-smith-annual-report-2024.pdf,66.0,giusta
EQUINOR ASA,https://cdn.equinor.com/files/h61q9gi9/global/16ccbc5a098c3b971979118420c4f83ddee18fb4.pdf?annual-report-2024-equinor.pdf=,66.0,giusta
ESSILORLUXOTTICA,http://cms.essilorluxottica.com/caas/v1/media/253398/data/download/f3fc336829625bff7ba4953197866281.pdf,49.0,giusta
GALP ENERGIA SGPS S.A.,https://www.galp.com/corp/Portals/0/Recursos/Investidores/IMR2024/AnnualIntegratedReport2024.pdf,54.0,giusta
GLENCORE PLC,https://www.glencore.com/.rest/api/v1/documents/static/7a4295e4-3674-45e9-94c4-7d7fb285faff/GLEN-2024-Annual-Report.pdf,66.0,giusta
HEINEKEN HOLDING N.V.,https://www.heinekenholding.com/sites/heinekenholding-v2/files/heineken-holding/investors/results-reports-webcasts-presentations/heineken-holding-nv-annual-report-2023-final.pdf,66.0,giusta
HENKEL AG & CO. KGAA,https://www.henkel.de/resource/blob/2043318/9b8425a944b077ab7165b775398c72a1/data/2024-annual-report.pdf,66.0,giusta
HOLCIM AG,https://www.holcim.ch/sites/switzerland/files/docs/holcim-2024-sustainability-ambitions-italiano-1_0.pdf,65.0,giusta
HSBC HOLDINGS PLC,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-annual-report-and-accounts-2024.pdf,66.0,giusta
INCHCAPE PLC,https://www.inchcape.com/~/media/files/i/inchcape/corp/results-and-presentations/2025/inchcape-2024-sustainability-report.pdf,66.0,giusta
